Full Team Name,Payroll,Year,Team
Atlanta Falcons,"$175,728,823 ",2014,Falcons
Cleveland Browns,"$156,240,488 ",2014,Browns
Baltimore Ravens,"$152,294,429 ",2014,Ravens
Arizona Cardinals,"$151,750,413 ",2014,Cardinals
Seattle Seahawks,"$151,634,452 ",2014,Seahawks
Washington Redskins,"$150,631,526 ",2014,Redskins
Tennessee Titans,"$147,610,258 ",2014,Titans
San Francisco 49ers,"$147,441,876 ",2014,49ers
New York Giants,"$147,002,888 ",2014,Giants
Miami Dolphins,"$144,645,040 ",2014,Dolphins
Philadelphia Eagles,"$144,067,521 ",2014,Eagles
Chicago Bears,"$142,948,391 ",2014,Bears
Oakland Raiders,"$141,224,715 ",2014,Raiders
Green Bay Packers,"$141,193,180 ",2014,Packers
Kansas City Chiefs,"$140,715,473 ",2014,Chiefs
Minnesota Vikings,"$139,445,997 ",2014,Vikings
Pittsburgh Steelers,"$138,857,568 ",2014,Steelers
Denver Broncos,"$137,792,194 ",2014,Broncos
St. Louis Rams,"$135,892,540 ",2014,Rams
Buffalo Bills,"$135,589,765 ",2014,Bills
New Orleans Saints,"$134,470,338 ",2014,Saints
San Diego Chargers,"$132,803,449 ",2014,Chargers
New England Patriots,"$132,130,517 ",2014,Patriots
Tampa Bay Buccaneers,"$131,279,968 ",2014,Buccaneers
Cincinnati Bengals,"$126,606,276 ",2014,Bengals
Detroit Lions,"$124,902,259 ",2014,Lions
Carolina Panthers,"$121,701,053 ",2014,Panthers
Indianapolis Colts,"$121,343,065 ",2014,Colts
Houston Texans,"$120,561,347 ",2014,Texans
Dallas Cowboys,"$107,784,533 ",2014,Cowboys
Jacksonville Jaguars,"$107,678,268 ",2014,Jaguars
New York Jets,"$106,085,353 ",2014,York Jets
Buffalo Bills,"$209,661,356 ",2015,Bills
San Diego Chargers,"$209,377,835 ",2015,Chargers
Dallas Cowboys,"$186,162,905 ",2015,Cowboys
New England Patriots,"$184,275,179 ",2015,Patriots
Washington Redskins,"$180,930,200 ",2015,Redskins
Baltimore Ravens,"$176,076,029 ",2015,Ravens
New Orleans Saints,"$174,058,877 ",2015,Saints
New York Giants,"$172,337,696 ",2015,Giants
Miami Dolphins,"$171,197,463 ",2015,Dolphins
Seattle Seahawks,"$170,750,392 ",2015,Seahawks
New York Jets,"$168,669,495 ",2015,York Jets
Cleveland Browns,"$167,817,921 ",2015,Browns
Houston Texans,"$164,492,108 ",2015,Texans
Pittsburgh Steelers,"$164,181,399 ",2015,Steelers
Oakland Raiders,"$162,380,705 ",2015,Raiders
Chicago Bears,"$160,305,947 ",2015,Bears
Indianapolis Colts,"$160,213,156 ",2015,Colts
St. Louis Rams,"$159,182,707 ",2015,Rams
Carolina Panthers,"$158,532,706 ",2015,Panthers
Tennessee Titans,"$157,837,837 ",2015,Titans
Jacksonville Jaguars,"$157,161,119 ",2015,Jaguars
Philadelphia Eagles,"$155,821,444 ",2015,Eagles
Cincinnati Bengals,"$155,010,208 ",2015,Bengals
San Francisco 49ers,"$151,336,014 ",2015,49ers
Denver Broncos,"$150,299,086 ",2015,Broncos
Tampa Bay Buccaneers,"$150,236,239 ",2015,Buccaneers
Green Bay Packers,"$149,832,246 ",2015,Packers
Atlanta Falcons,"$147,137,872 ",2015,Falcons
Arizona Cardinals,"$146,412,548 ",2015,Cardinals
Minnesota Vikings,"$143,600,468 ",2015,Vikings
Kansas City Chiefs,"$142,522,344 ",2015,Chiefs
Detroit Lions,"$137,107,728 ",2015,Lions
Chicago Bears,"$221,773,830 ",2016,Bears
Philadelphia Eagles,"$219,119,435 ",2016,Eagles
New York Jets,"$215,062,503 ",2016,Jets
San Diego Chargers,"$213,810,003 ",2016,Chargers
Kansas City Chiefs,"$199,292,002 ",2016,Chiefs
Jacksonville Jaguars,"$197,969,573 ",2016,Jaguars
Arizona Cardinals,"$197,594,788 ",2016,Cardinals
Denver Broncos,"$196,332,541 ",2016,Broncos
Baltimore Ravens,"$190,450,208 ",2016,Ravens
Minnesota Vikings,"$188,052,014 ",2016,Vikings
New Orleans Saints,"$186,310,950 ",2016,Saints
Cincinnati Bengals,"$182,829,344 ",2016,Bengals
New York Giants,"$179,692,604 ",2016,Giants
Buffalo Bills,"$177,757,931 ",2016,Bills
Tampa Bay Buccaneers,"$175,907,466 ",2016,Buccaneers
Indianapolis Colts,"$174,421,005 ",2016,Colts
Miami Dolphins,"$173,577,015 ",2016,Dolphins
San Francisco 49ers,"$173,459,103 ",2016,49ers
Houston Texans,"$170,689,763 ",2016,Texans
Los Angeles Rams,"$168,327,210 ",2016,Rams
Dallas Cowboys,"$167,375,404 ",2016,Cowboys
Oakland Raiders,"$166,938,623 ",2016,Raiders
Washington Redskins,"$165,623,719 ",2016,Redskins
Pittsburgh Steelers,"$161,920,073 ",2016,Steelers
Detroit Lions,"$159,849,089 ",2016,Lions
Atlanta Falcons,"$158,807,063 ",2016,Falcons
Carolina Panthers,"$156,217,002 ",2016,Panthers
Green Bay Packers,"$155,933,371 ",2016,Bay Packers
Seattle Seahawks,"$155,743,648 ",2016,Seahawks
Tennessee Titans,"$153,260,804 ",2016,Titans
New England Patriots,"$146,033,699 ",2016,Patriots
Cleveland Browns,"$122,766,079 ",2016,Browns
Miami Dolphins,"$231,770,498 ",2017,Dolphins
Washington Redskins,"$230,631,363 ",2017,Redskins
Green Bay Packers,"$222,796,823 ",2017,Packers
Cleveland Browns,"$221,112,451 ",2017,Browns
Detroit Lions,"$220,620,066 ",2017,Lions
Carolina Panthers,"$218,064,031 ",2017,Panthers
Seattle Seahawks,"$216,901,858 ",2017,Seahawks
Arizona Cardinals,"$212,964,050 ",2017,Cardinals
New York Giants,"$211,012,494 ",2017,York Giants
Chicago Bears,"$210,944,661 ",2017,Bears
New England Patriots,"$209,562,024 ",2017,Patriots
San Francisco 49ers,"$205,541,576 ",2017,49ers
Indianapolis Colts,"$205,521,283 ",2017,Colts
Denver Broncos,"$200,685,969 ",2017,Broncos
Philadelphia Eagles,"$196,810,120 ",2017,Eagles
Cincinnati Bengals,"$195,578,230 ",2017,Bengals
Oakland Raiders,"$192,276,664 ",2017,Raiders
New Orleans Saints,"$189,687,444 ",2017,Saints
Jacksonville Jaguars,"$189,360,468 ",2017,Jaguars
Atlanta Falcons,"$186,291,948 ",2017,Falcons
Houston Texans,"$183,642,941 ",2017,Texans
Kansas City Chiefs,"$179,054,899 ",2017,Chiefs
Tampa Bay Buccaneers,"$176,645,594 ",2017,Buccaneers
Minnesota Vikings,"$174,662,841 ",2017,Vikings
Los Angeles Chargers,"$171,617,106 ",2017,Chargers
Tennessee Titans,"$170,813,863 ",2017,Titans
Baltimore Ravens,"$170,571,846 ",2017,Ravens
Pittsburgh Steelers,"$166,351,849 ",2017,Steelers
Buffalo Bills,"$166,302,828 ",2017,Bills
New York Jets,"$164,750,649 ",2017,York Jets
Los Angeles Rams,"$162,386,071 ",2017,Rams
Dallas Cowboys,"$162,126,153 ",2017,Cowboys
San Francisco 49ers,"$288,613,249 ",2018,49ers
Jacksonville Jaguars,"$271,113,920 ",2018,Jaguars
Washington Redskins,"$267,279,409 ",2018,Redskins
Chicago Bears,"$248,638,079 ",2018,Bears
Cincinnati Bengals,"$239,710,820 ",2018,Bengals
Carolina Panthers,"$237,651,288 ",2018,Panthers
Green Bay Packers,"$233,701,644 ",2018,Packers
Tennessee Titans,"$233,425,200 ",2018,Titans
Los Angeles Rams,"$230,529,648 ",2018,Rams
Minnesota Vikings,"$226,304,818 ",2018,Vikings
Denver Broncos,"$226,250,245 ",2018,Broncos
New York Jets,"$221,665,352 ",2018,York Jets
Cleveland Browns,"$218,417,696 ",2018,Browns
Oakland Raiders,"$217,859,327 ",2018,Raiders
Atlanta Falcons,"$211,430,716 ",2018,Falcons
Tampa Bay Buccaneers,"$208,754,008 ",2018,Buccaneers
Arizona Cardinals,"$204,548,240 ",2018,Cardinals
Miami Dolphins,"$202,517,006 ",2018,Dolphins
Detroit Lions,"$198,466,702 ",2018,Lions
New York Giants,"$196,995,681 ",2018,Giants
Pittsburgh Steelers,"$193,910,974 ",2018,Steelers
New England Patriots,"$191,074,247 ",2018,Patriots
Kansas City Chiefs,"$190,758,100 ",2018,Chiefs
New Orleans Saints,"$187,757,213 ",2018,Saints
Philadelphia Eagles,"$184,028,701 ",2018,Eagles
Seattle Seahawks,"$177,837,753 ",2018,Seahawks
Los Angeles Chargers,"$177,430,309 ",2018,Chargers
Houston Texans,"$175,996,486 ",2018,Texans
Dallas Cowboys,"$172,997,726 ",2018,Cowboys
Indianapolis Colts,"$162,784,282 ",2018,Colts
Buffalo Bills,"$160,553,255 ",2018,Bills
Baltimore Ravens,"$151,235,063 ",2018,Ravens